epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,3171.52,0.56391,0.37864,1.1061,0.01562,0.95158,0.90916,0.95063,0.85737,0.42001,0.30217,1.03986,0.00788,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,3217.11,0.5622,0.37764,1.10302,0.01551,0.94412,0.915,0.9508,0.85687,0.42059,0.30322,1.03987,0.00783,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,3262.65,0.55911,0.37556,1.10066,0.01519,0.94644,0.9138,0.95116,0.85838,0.42174,0.29884,1.03604,0.00845,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,3308.22,0.55918,0.37415,1.10103,0.01507,0.94415,0.91678,0.95131,0.85774,0.41998,0.29889,1.03544,0.00809,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,3353.82,0.55965,0.37396,1.09832,0.01515,0.94987,0.91373,0.9513,0.85811,0.41819,0.29681,1.03077,0.00803,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,3399.39,0.5575,0.37298,1.09719,0.01522,0.94775,0.91636,0.95132,0.85872,0.41954,0.29928,1.03528,0.00796,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,3444.99,0.55829,0.37219,1.09987,0.01516,0.94699,0.91609,0.95141,0.85882,0.42155,0.29924,1.04012,0.00787,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3490.48,0.55516,0.37184,1.09502,0.01489,0.95085,0.91391,0.95183,0.85933,0.41885,0.29851,1.03828,0.0078,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3536.07,0.55493,0.37028,1.09431,0.01493,0.94708,0.91785,0.9523,0.8596,0.42074,0.29823,1.04089,0.00802,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,3581.59,0.55328,0.36924,1.09237,0.01472,0.95007,0.91343,0.95174,0.85895,0.41826,0.29607,1.0347,0.00779,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3627.19,0.55343,0.36905,1.09426,0.01483,0.94477,0.91839,0.95161,0.85863,0.41781,0.29295,1.03765,0.00733,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
